Transaction_ID,SALES REP,Region,Sale Amount,COMMISSION %,Sale_Date,Units Sold,Customer_Rating
2001,Alice,North,1500,5.0,2024-01-05,12,4.0
2002,Bob,south,2200,7.0,2024-01-06,8,5.0
2003,,EAST,980,,2024-01-07,15,
2004,Diana,West,3100,8.0,2024-01-08,6,3.0
2005,Alice,north,1750,5.0,2024-01-09,11,4.0
2006,Bob,South,2200,7.0,2024-01-10,8,5.0
2007,Charlie,east,890,6.0,2024-01-11,14,
2008,,West,4100,,2024-01-12,5,4.0
2009,Diana,NORTH,1600,8.0,2024-01-13,9,3.0
2010,Alice,south,2900,5.0,2024-01-14,7,5.0
2002,Bob,south,2200,7.0,2024-01-06,8,5.0
2011,Charlie,East,750000,6.0,2024-01-15,3,4.0
2012,Eve,west,1100,7.0,2024-01-16,10,
2013,,North,2400,,2024-01-17,6,3.0
